,quality
5166,6
3288,6
1950,7
3635,6
6115,6
3565,6
5737,6
1935,6
2682,6
4648,5
3901,5
3841,5
746,6
4100,5
5904,6
5172,6
1074,5
1351,6
4071,6
1193,5
6481,5
3792,6
1064,6
4623,6
5279,6
259,7
5441,6
147,5
4575,6
5408,6
164,5
4905,7
4472,8
2115,5
1397,5
3724,5
5609,6
842,6
5547,5
2592,4
3572,5
4237,6
3544,6
5876,5
1529,6
5153,6
2842,7
1996,6
5175,5
3823,7
5482,6
3139,6
1817,5
4652,5
3771,5
2482,6
1346,5
2093,6
2467,7
2914,6
6238,6
5849,6
5322,7
5665,6
2106,7
4195,5
637,5
4588,6
4770,6
855,7
3581,8
6112,6
2659,7
6116,6
1370,5
4764,6
4672,5
826,7
3405,5
155,5
2364,6
130,5
5068,6
2783,7
1168,6
1557,6
3640,5
736,5
3599,5
2919,6
5157,6
4699,7
1272,5
5988,4
4353,5
5739,6
345,5
3519,7
320,7
2343,5
4551,5
5799,6
4538,8
4092,4
4086,6
459,3
3608,7
428,5
2443,8
6163,7
4635,5
1718,5
1031,7
1277,6
2398,8
5926,5
1042,6
1499,6
2135,5
5368,5
2254,6
361,6
5459,5
5592,7
711,5
3004,4
2446,5
1092,6
4029,5
3884,5
1894,6
3737,5
5664,8
6256,7
6193,6
3414,6
291,5
2034,7
4208,6
4953,7
2591,5
931,5
6215,5
3980,6
6182,6
774,6
5978,5
5489,6
462,5
1463,6
2898,5
3377,8
5373,5
4808,5
6098,6
4473,7
973,5
4993,5
1367,6
1268,6
3199,6
4790,6
1583,5
4909,7
2165,6
2374,6
4197,5
1875,6
5692,6
3948,5
5621,5
3535,6
3071,5
5862,6
1192,7
1865,6
2734,6
1170,6
5833,6
4734,6
5271,8
1574,6
6226,6
3856,6
1565,6
5744,6
4950,6
1975,7
3161,7
3275,7
1615,6
939,5
1874,6
3804,5
5765,7
3454,6
1363,4
1774,6
3857,5
798,6
1291,6
346,7
4730,5
5268,7
2953,5
3090,5
629,5
2389,6
1385,5
5341,7
1056,7
689,5
1207,5
4021,5
2691,6
4094,5
501,7
6055,5
2371,7
246,5
2980,7
3893,7
298,5
2562,6
3221,6
3858,6
947,7
6223,6
6326,6
1482,4
4511,7
3625,5
3889,7
6162,7
3953,6
2393,5
877,6
2817,8
3440,7
2570,7
3384,6
4120,7
2628,4
4907,6
5277,5
3776,7
3678,4
3206,7
1842,6
2305,5
3130,7
2092,6
2600,5
4986,5
1988,7
847,6
2655,6
876,4
3391,6
4651,7
4596,6
335,7
5372,5
1745,6
1467,4
3723,7
1511,5
3956,5
4039,5
3631,6
1226,5
2869,7
2195,5
4771,8
4977,8
115,6
2796,7
6258,6
1458,5
957,6
5003,6
3089,6
4119,5
2378,8
1802,6
2809,6
378,6
743,5
4996,6
3340,6
2837,7
3318,6
1818,5
5749,5
3691,5
3314,8
1995,5
685,5
5693,7
1360,5
5585,6
1829,4
1533,5
709,6
508,6
2494,6
6140,6
463,5
359,6
1131,5
6352,6
6371,5
4284,7
323,6
6179,6
2883,7
4577,6
5928,5
1587,6
5265,7
3704,5
1217,6
1667,8
2301,4
2368,7
3587,6
4459,6
4997,5
5786,6
5313,4
522,5
6360,6
5315,5
4312,6
4213,5
5604,6
2968,5
3927,5
2803,6
2184,6
6395,7
3605,6
832,3
920,5
3552,6
5330,6
6127,6
1716,6
3363,5
181,5
5027,6
2063,5
6489,6
1260,5
1521,4
6227,6
968,6
371,6
4921,7
113,6
1820,6
4443,5
1552,6
5789,6
4667,6
3834,6
4900,8
5018,7
1178,5
125,5
989,6
6171,7
2511,5
4612,6
3497,6
1474,5
4569,5
3254,5
5273,5
1964,7
3328,6
5962,5
272,5
2571,6
5734,5
1068,7
3175,6
6361,7
2648,6
3920,5
6222,6
1017,6
3842,5
2857,6
5154,6
5481,5
921,6
4012,4
5074,6
321,5
1957,6
5752,5
1039,6
2708,4
5643,7
2989,6
6240,6
5630,5
1010,7
4526,7
5393,5
4091,6
1338,5
3040,5
6312,6
3667,6
1144,5
3007,7
1329,6
5305,6
1969,6
1405,7
5251,6
177,6
2731,5
1087,6
5176,7
5203,6
2912,5
3499,6
2546,5
2764,5
4158,5
2450,5
390,8
3280,6
1166,5
4169,5
2086,6
1551,5
4491,5
1782,6
1943,6
3974,6
6000,6
1455,6
4724,5
2058,5
4405,5
4809,5
3295,6
2823,7
4884,7
5241,6
4427,7
3785,5
330,6
5325,7
6277,6
1561,5
4752,6
2625,6
4402,8
3484,6
4190,7
1239,4
4414,5
2672,5
1792,5
5534,5
3359,6
1021,6
4966,6
5724,5
1032,5
961,5
3460,6
5940,6
4854,6
5858,6
5776,6
4110,6
618,5
5639,5
2225,4
1470,5
1575,6
2083,5
5257,7
2810,5
5337,6
4098,6
5523,5
1016,7
5288,8
528,6
42,6
3106,6
5034,6
2656,5
1784,5
5502,6
4839,6
2206,5
5842,6
5584,6
706,5
1247,5
1500,5
3748,6
669,6
5529,6
6053,6
480,5
2489,6
3882,5
2298,5
5888,6
2176,7
4649,4
2593,6
2260,7
2763,6
4069,5
2788,5
3838,6
5787,6
4280,6
4277,5
5440,6
6130,6
1596,6
3546,5
241,6
5715,6
5133,5
2908,6
4260,6
3120,5
5819,6
5555,5
1439,6
4322,6
4389,6
4425,6
3182,5
4586,7
1630,6
430,7
2125,4
5841,7
959,5
1568,5
2567,7
5326,7
1129,6
6096,5
3133,6
4264,5
586,7
3538,5
627,5
3861,6
350,6
4045,5
974,7
2056,5
5993,6
1045,6
2619,7
4827,6
5208,6
3036,7
1664,5
4417,4
1901,6
3362,6
5080,5
701,6
570,6
1282,6
2481,6
526,5
5925,5
3393,5
3109,5
1263,4
1520,6
6249,5
4946,6
1889,7
2807,6
2461,6
6064,5
881,6
3982,6
5517,7
1355,5
6054,5
3141,6
976,5
3422,6
2154,7
6483,5
5132,6
6305,7
5355,5
4122,5
1987,6
642,5
260,5
4047,6
1793,5
5614,5
4043,5
4157,7
5356,5
5831,6
1316,6
1417,7
945,7
4514,6
1418,5
1612,7
2784,5
573,4
5439,6
538,7
5755,5
2121,6
1857,6
3651,5
667,6
2140,5
5442,7
3062,6
3268,6
2720,6
4095,5
1041,6
1223,6
2161,6
4105,6
2032,4
513,7
2013,6
995,6
5865,7
4408,7
3601,6
3,6
4685,7
2312,5
6282,6
2917,6
4038,6
5551,6
465,5
5550,5
3800,6
4920,6
4758,6
640,5
6334,6
6355,7
1840,5
5124,6
3163,5
1303,5
1541,7
2907,6
5512,6
1852,3
4149,5
5193,7
6002,5
2019,7
2379,4
3049,6
3050,5
6068,6
5049,7
422,5
4683,6
2385,6
2905,8
1809,5
1013,6
6099,6
5544,6
2687,6
3038,5
2754,4
5599,6
52,6
906,5
1863,6
4454,7
3357,5
3525,6
3151,7
5334,6
3606,6
6141,5
5537,6
4217,7
5656,6
1111,7
5212,6
409,4
2941,6
337,5
1148,6
1125,7
3851,5
4063,5
1711,5
871,5
6131,6
6012,7
2646,5
5267,5
4490,6
3634,5
4060,5
970,6
910,6
4426,7
6122,5
3361,7
3728,5
5130,5
5538,6
2866,7
189,5
5817,6
3992,6
2405,5
494,6
5706,6
3491,5
3600,5
6229,7
6195,6
2965,6
2890,6
3170,6
2475,9
2120,5
3086,6
4478,6
3501,6
3195,5
5640,5
4361,5
427,6
5361,5
5492,5
3383,7
4127,6
4723,6
668,5
5371,6
5577,7
3239,5
66,5
1998,6
310,6
3253,5
2709,7
2599,7
2827,6
3840,5
889,5
5912,6
3814,6
5020,8
1383,5
4186,6
319,6
4783,7
5897,6
2036,8
3626,5
767,5
1654,6
4520,6
1384,5
3708,6
2581,6
5668,6
2918,5
2207,5
3171,6
1627,6
5576,6
1633,5
4032,6
840,7
4229,6
3258,5
2769,6
2122,6
4643,6
329,5
614,6
1147,7
2702,5
5239,6
6007,5
6157,6
815,5
6486,7
1219,6
2426,9
3477,6
488,7
1027,5
2223,5
3964,5
5569,7
2661,5
5507,7
5810,6
4059,5
2162,7
5292,7
6289,6
4784,6
2196,6
5454,6
3187,5
3193,6
100,6
2755,6
2637,7
5108,6
4462,6
358,7
3173,4
2604,6
4196,6
4527,7
4978,5
379,6
264,5
4371,7
1920,5
3710,5
643,5
5785,5
1378,6
4888,5
1404,6
6372,7
129,5
4507,6
3972,3
3265,5
5908,6
6120,5
4759,6
5231,6
6438,4
4316,6
5704,7
937,4
1154,6
1249,6
28,5
2622,6
4835,6
3554,5
17,5
1686,6
2452,5
5651,5
5479,6
2214,5
3301,4
3747,5
4597,7
221,5
5535,6
950,7
1665,7
5302,6
5389,5
4182,7
5335,4
541,6
6424,6
1536,6
5462,6
4147,6
5182,6
4342,6
2588,7
3705,5
1590,6
6421,6
506,7
5680,6
650,5
5121,5
2915,6
1912,6
3812,6
353,5
702,6
3160,5
5909,6
267,8
2131,6
1080,6
3684,6
2805,6
5998,5
5877,4
4846,6
540,5
160,5
4153,7
4608,6
724,4
1138,5
5736,5
6265,5
1519,5
2900,5
3417,6
2421,5
242,6
2772,5
3373,6
3961,6
5261,4
2264,5
2938,6
4474,6
391,6
515,5
418,6
714,5
1233,4
4910,7
5428,7
5422,5
4257,7
3778,6
2324,5
5070,6
5974,6
5985,6
2873,6
1389,5
3540,5
4004,5
761,5
2522,6
6400,7
1245,5
3349,6
1228,7
5425,6
5708,6
4240,5
4705,6
5801,6
4593,7
4048,6
879,5
1177,7
1648,5
276,6
5098,7
5867,6
2767,5
4333,6
545,5
936,6
4036,6
232,6
1617,6
1441,6
3759,6
795,5
1762,6
2242,5
3430,7
171,6
1231,5
4825,6
306,5
4378,5
1756,7
3169,5
2017,6
3041,5
5561,7
2465,7
1457,5
2548,5
4273,7
3808,6
234,6
5348,6
966,7
5820,6
3188,6
1468,7
3457,5
211,6
280,6
6,5
2431,8
2387,7
661,5
4521,8
6128,6
6384,7
1050,5
4357,6
3775,5
5753,5
857,7
1722,6
5903,6
854,6
4145,5
905,5
6174,7
3970,5
3922,6
5082,7
1442,5
5881,5
5970,5
849,5
3999,4
686,5
1135,6
5432,6
542,5
4135,6
609,6
5433,5
623,6
2269,6
3611,5
2353,5
583,7
1952,7
549,6
768,6
978,7
2602,7
5009,7
6416,6
263,5
3320,7
2118,5
841,5
3208,7
2089,6
2399,6
2623,6
6209,6
5101,5
2577,7
3529,6
3279,5
1063,6
2302,6
2730,6
37,7
2526,7
3240,6
1335,6
1644,7
4494,5
1904,6
5270,7
579,6
4729,6
6290,7
4647,6
5040,5
3447,5
4859,6
25,5
396,5
6087,6
4296,5
2347,6
980,6
2267,6
5094,7
4388,5
2308,5
777,6
4267,6
1883,5
1142,6
352,5
3297,6
1012,5
3794,5
681,6
5717,8
468,6
3918,7
3213,5
5394,6
5162,5
6411,7
2102,5
5989,5
2172,7
3643,6
4797,7
1626,6
2603,6
1122,6
6259,6
1274,6
972,7
1796,5
1103,6
2964,7
5610,7
2721,7
1230,6
1918,6
1426,6
2785,5
864,5
2990,6
4439,6
1267,6
4011,4
4030,5
5339,7
6296,7
5939,8
3905,5
1105,5
3709,5
5932,8
4488,6
5090,6
3892,7
3827,7
2307,6
2832,6
3562,6
5382,5
688,5
1647,6
1948,5
4200,5
4646,5
1739,5
5158,4
6208,4
4137,6
5764,7
5834,5
450,6
4001,6
210,6
4712,6
16,7
2420,6
5509,6
3716,5
6237,5
229,5
3623,5
6008,7
1359,6
5151,6
6365,8
3727,6
5638,4
3784,7
4231,5
981,5
6370,6
845,5
4505,5
1645,4
1285,5
5591,7
625,5
3212,7
5587,6
2870,5
3427,6
3270,7
3537,5
2457,7
5245,7
3909,5
757,5
4546,6
4014,5
104,5
73,4
1410,6
2361,5
2826,5
3850,7
1545,6
144,6
6269,6
5930,5
415,5
5800,6
4226,7
438,6
213,5
4744,6
589,7
3641,6
1423,4
4897,6
3773,7
1085,5
5201,6
3870,6
860,5
4899,5
4814,6
2396,6
5669,5
2966,5
5511,7
162,6
5022,5
5272,7
1187,6
3541,5
1999,6
1724,6
4715,7
3766,7
3993,5
5078,7
4799,7
2444,8
43,5
2667,7
34,5
6382,6
1284,5
5297,6
5703,7
4077,6
2790,7
1047,5
1321,6
3636,5
500,6
3803,5
732,5
6378,4
5126,6
5894,5
301,6
5835,5
1841,7
5793,6
620,5
2410,6
5871,6
3072,6
5107,5
5246,7
4033,6
4435,6
412,5
1675,7
4103,6
315,6
5290,6
